Isolate,Cluster
Rhodanobacter rhizosphaerae,1
Pseudomonas koreensis 17,2
Saccharothrix yanglingensis 4,3
Rhodanobacter lindaniclasticus 7,3
Pseudomonas alcaligenes 6,3
Pseudomonas alcaligenes 6,3
Saccharothrix yanglingensis 16,4
Streptomyces canarius 2,4
Streptomyces canarius 2,5
Rhodanobacter xiangquanii,6
Pseudomonas alcaligenes 8,7
Pantoea agglomerans,7
Pantoea agglomerans,8
Streptomyces canarius 2,8
Saccharothrix yanglingensis 16,8
Saccharothrix yanglingensis 16,8
Streptomyces canarius 2,9
Streptomyces canarius 2,10
Saccharothrix yanglingensis 8,10
Saccharothrix yanglingensis 16,10
Simplicispira limi,10
Saccharothrix yanglingensis 8,10
Simplicispira limi,10
Saccharothrix yanglingensis 8,10
Pseudomonas koreensis,10
Lentzea flaviverrucosa 3,11
Pseudomonas koreensis,11
Lentzea flaviverrucosa 3,12
Rhodanobacter lindaniclasticus 8,12
Saccharothrix yanglingensis 6,12
Lentzea flaviverrucosa 3,13
Pseudomonas koreensis,14
Rhodanobacter lindaniclasticus 8,14
Saccharothrix yanglingensis 6,15
Lentzea flaviverrucosa 3,15
Pseudomonas koreensis,15
Pigmentiphaga kullae,15
Streptomyces canarius 5,15
Pseudomonas koreensis 9,15
Pseudomonas alcaligenes 9,15
Pseudomonas alcaligenes 9,15
Pseudomonas alcaligenes 9,15
Saccharothrix yanglingensis 2,15
Pseudomonas alcaligenes 2,15
Streptomyces bellus 6,15
Simplicispira limi 2,15
Streptomyces bellus 2,16
Nocardia cavernae,17
Saccharothrix yanglingensis 3,17
Streptomyces bellus 9,18
Pseudomonas koreensis 3,19
Streptomyces bellus 2,19
Thermomonas carbonis 2,20
Thermomonas carbonis 2,20
Flavobacterium ginsengiterrae,21
Flavobacterium ginsengiterrae,21
Dermacoccus nishinomiyaensis,22
Dermacoccus nishinomiyaensis,23
Dermacoccus nishinomiyaensis,24
Dermacoccus nishinomiyaensis,24
Pseudomonas turukhanskensis,24
Streptomyces canarius 4,24
Pseudomonas turukhanskensis,25
Castellaniella denitrificans,26
