Code,Cluster
"N/AN/A",139
"N/AN/A 2",24
"N/AN/A 3",1
"N/AN/A 4",131
"N/AN/A 5",94
"N/AN/A 6",111
"N/AN/A 7",25
"N/AN/A 8",144
"plate 1/6 TSB Isolates - 1 well A1",20
"plate 1/6 TSB Isolates - 1 well A3",37
"plate 1/6 TSB Isolates - 1 well A5",139
"plate 1/6 TSB Isolates - 1 well A9",40
"plate 1/6 TSB Isolates - 1 well B2",91
"plate 1/6 TSB Isolates - 1 well B4",33
"plate 1/6 TSB Isolates - 1 well B6",109
"plate 1/6 TSB Isolates - 1 well B10",2
"plate 1/6 TSB Isolates - 1 well C5",7
"plate 1/6 TSB Isolates - 1 well C9",23
"plate 1/6 TSB Isolates - 1 well C11",78
"plate 1/6 TSB Isolates - 1 well D2",15
"plate 1/6 TSB Isolates - 1 well D6",30
"plate 1/6 TSB Isolates - 1 well D8",16
"plate 1/6 TSB Isolates - 1 well E3",33
"plate 1/6 TSB Isolates - 1 well E9",33
"plate 1/6 TSB Isolates - 1 well E11",10
"plate 1/6 TSB Isolates - 1 well F2",86
"plate 1/6 TSB Isolates - 1 well F4",33
"plate 1/6 TSB Isolates - 1 well F6",20
"plate 1/6 TSB Isolates - 1 well F8",115
"plate 1/6 TSB Isolates - 1 well F12",121
"plate 1/6 TSB Isolates - 1 well G7",16
"plate 1/6 TSB Isolates - 1 well H2",10
"plate 1/6 TSB Isolates - 1 well H6",37
"plate 1/6 TSB Isolates - 1 well H8",33
"plate 1/6 TSB Isolates - 1 well H10",68
"plate 16Apr/21Apr - WAS - 1/1 TSB well A2",99
"plate 16Apr/21Apr - WAS - 1/1 TSB well A3",21
"plate 16Apr/21Apr - WAS - 1/1 TSB well A4",26
"plate 16Apr/21Apr - WAS - 1/1 TSB well A6",122
"plate 16Apr/21Apr - WAS - 1/1 TSB well A11",66
"plate 16Apr/21Apr - WAS - 1/1 TSB well B1",119
"plate 16Apr/21Apr - WAS - 1/1 TSB well B2",36
"plate 16Apr/21Apr - WAS - 1/1 TSB well B6",130
"plate 16Apr/21Apr - WAS - 1/1 TSB well B7",34
"plate 16Apr/21Apr - WAS - 1/1 TSB well B8",61
