mass1	mass2	mass3
4.46e+09	4.75e+09	6.93e+09
1.16e+10	4.84e+09	5.38e+09
5.94e+09	1.32e+10	8.79e+09
4.76e+09	5.12e+09	2.27e+09
7.65e+09	2.69e+09	2.89e+09
2.53e+08	1.82e+09	4.21e+09
5.31e+09	2.52e+09	3.12e+09
1.5e+09	3.09e+09	7.76e+09
3.11e+09	1.72e+10	3.53e+09
5e+09	6.91e+09	1.17e+10
5.44e+09	6e+09	6.51e+09
1.22e+10	1.03e+10	5.99e+09
5.36e+09	3.89e+09	5.83e+09
4.47e+09	3.39e+09	5.03e+09
5.01e+09	9.82e+09	3.62e+09
1.27e+10	7.39e+09	8.31e+09
4.06e+09	6.12e+09	2.28e+09
3.22e+09	2.61e+09	3.12e+09
6.63e+08	3.38e+09	3.23e+09
5.42e+09	2.1e+09	4.95e+09
3e+09	2.26e+09	1.3e+10
4.86e+09	8.78e+09	4.41e+09
3.15e+09	5.12e+09	5.33e+09
1.04e+10	5.3e+09	1.09e+10
6.38e+09	1.04e+10	4.21e+09
6.48e+09	2.85e+09	5.02e+09
6.65e+09	5.4e+09	3.02e+09
1.32e+10	1.58e+10	8.77e+09
2.21e+09	9.81e+09	1.56e+10
4.12e+09	3.92e+09	6.37e+09
5.41e+09	3.44e+09	5.96e+09
1.42e+09	2.64e+09	5.38e+08
4.42e+09	4.12e+09	1.05e+10
2.02e+09	5.13e+09	2.33e+09
2.6e+09	4.69e+09	5.71e+09
5.49e+09	3.55e+09	1.6e+10
1.5e+10	7.57e+09	2.4e+09
1.24e+10	1.63e+10	3.78e+09
3.5e+09	5.75e+09	4.3e+09
3.2e+09	1.66e+09	2.91e+09
2.31e+09	1.67e+10	9.83e+09
4.94e+09	1.13e+10	1.6e+10
9.93e+09	3.29e+09	8.62e+09
1.18e+09	4.71e+09	4.33e+09
1.72e+09	3.1e+09	3.55e+09
2.5e+09	3.57e+09	6.37e+09
1.94e+09	2.12e+09	7.55e+09
9.53e+09	4.22e+09	3.26e+09
1.98e+09	3.26e+09	1.97e+09
1.51e+10	9.8e+09	5.66e+09
1.18e+10	1.18e+10	9.58e+09
3.54e+09	1.04e+10	1.54e+09
4.5384e+09	2.07e+10	1.24e+10
3.83e+09	1.74e+10	8.45e+09
1.3e+10	9.69e+09	2.15e+10
8.55e+09	5.03e+09	1.29e+10
4.63e+09	7.24e+09	5.05e+09
8.41e+08	9.7e+09	5.41e+09
8.72e+09	3.47e+09	3.99e+09
8.58e+09	4.25e+09	8.79e+09
3.94e+09	3.8e+09	4.1259e+09
2.18e+10	1.24e+10	3.81e+09
1.87e+10	8.81e+09	1.37e+10
8.96e+09	2.04e+10	8.72e+09
5.47e+09	1.29e+10	9.11e+09
