#OTU ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
Collinsella-aerofaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium-hiranonis	1483	1416	1038	84	101	72	46	55	89	102	115	56	102	248	168	120	54	214	74	129	79	121	244	99	36	92	1918	1536	592	269	108	56	45	57	24	36	21	15	11	1331	1209	578	304	116	43	57	95	88	115	187	90	65	108	13	90	112	76	70	20	33	42	48	40	46	42
Clostridium-difficile	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	2	5	6	0	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Proteus-mirabilis	1330	1327	1092	726	1271	1602	1290	1375	670	1093	1345	1025	1490	2605	1814	832	650	1931	3404	2999	1256	1409	1191	1207	606	860	1472	827	738	1082	757	1010	1056	872	720	573	684	909	750	880	606	413	736	1247	1065	1043	887	843	778	937	598	651	364	2023	1396	811	1067	1415	1166	992	523	430	477	722	616
Clostridium-scindens	1065	460	199	98	209	343	195	234	120	255	194	120	154	1266	1009	324	90	210	746	544	166	151	363	408	150	279	236	177	94	60	103	182	327	183	87	262	176	153	154	223	220	50	123	185	160	132	119	78	122	224	140	160	91	37	291	54	93	265	208	208	121	80	68	134	81
Ruminococcus-obeum	30	408	1405	312	754	1322	1301	1931	2064	3734	2338	1555	1835	3	8	834	465	828	2992	3278	1913	2837	3848	3614	2183	2326	13	137	875	272	322	971	1269	1034	2218	1902	1534	1247	1062	23	194	85	213	497	982	1578	1410	1636	1724	2220	1379	996	49	3	73	560	717	984	575	1125	1425	993	820	1385	1105
Clostridium-ramosum	3259	4548	5325	3172	5956	5733	2105	3524	3008	5863	3943	2903	2237	2263	3134	3005	2337	5900	9896	5682	2528	2543	5683	6430	3618	5726	2218	2137	4611	2851	4840	3843	3513	2967	3076	4144	3962	3390	3082	1757	2068	2574	3486	5543	3919	1997	3166	3431	3288	4676	3409	2589	355	2060	2467	2344	4086	6741	4315	3752	4516	3399	3313	4847	3906
Bacteroides-ovatus	7454	16240	22250	10575	18852	22060	17997	25516	18681	29824	38292	18553	34647	9257	13880	21352	11428	31768	56884	48860	31378	34916	31700	33257	22443	23332	9107	10417	16950	13119	17439	14724	14823	17693	21065	15416	14963	12183	10215	6680	9467	11525	14663	18773	14725	21785	15696	16210	16066	23104	14275	18782	2839	4018	14342	17924	16125	23999	23167	24655	22629	16301	12485	16946	12036
Akkermansia-muciniphila	813	5942	27211	17139	22484	25420	21199	25422	18389	30665	36988	25254	33251	280	1027	29314	15758	25403	54775	52904	25807	20145	36019	45905	36968	28614	1308	3164	17496	13629	13268	14611	19067	13729	22542	20415	17990	18440	14130	721	3070	12367	20262	16146	12252	17951	20109	21525	15924	21603	16758	22367	752	152	1895	18500	14822	17230	13242	17650	14510	15508	13826	20231	13484
Parabacteroides-distasonis	38	76	166	445	878	1186	1175	1469	1053	2463	2184	2140	2551	51	51	168	576	919	1620	2602	1201	1951	2534	2592	1419	3067	49	37	221	712	621	669	921	1067	1149	876	1152	1379	1337	65	78	257	652	939	651	872	1341	1642	1443	1913	1737	2515	61	77	60	556	1161	1159	1303	1748	2416	2003	1579	2274	1527
