sampleID	isIncluded	subjectID	measurementid	perturbid	exptblock	intv
1	1	1	0.75	0	1	0
2	1	1	1	0	1	0
3	1	1	2	0	1	14
4	1	1	3	0	1	0
5	1	1	4	0	1	0
6	1	1	6	0	1	0
7	1	1	8	0	1	0
8	1	1	10	0	1	0
9	1	1	14	0	1	0
10	1	1	17	0	1	0
11	1	1	21	0	1	0
12	1	1	24	0	1	0
13	1	1	28	0	1	0
14	0	1	28.75	0	1	0
15	0	1	29	0	1	0
16	0	1	30	0	1	0
17	0	1	31	0	1	0
18	0	1	32	0	1	0
19	0	1	34	0	1	0
20	0	1	36	0	1	0
21	0	1	38	0	1	0
22	0	1	42	0	1	0
23	0	1	45	0	1	0
24	0	1	49	0	1	0
25	0	1	52	0	1	0
26	0	1	56	0	1	0
27	1	2	0.75	0	1	
28	1	2	1	0	1	
29	1	2	2	0	1	
30	1	2	3	0	1	
31	1	2	4	0	1	
32	1	2	6	0	1	
33	1	2	8	0	1	
34	1	2	10	0	1	
35	1	2	14	0	1	
36	1	2	17	0	1	
37	1	2	21	0	1	
38	1	2	24	0	1	
39	1	2	28	0	1	
40	0	2	28.75	0	1	
41	0	2	29	0	1	
42	0	2	30	0	1	
43	0	2	31	0	1	
44	0	2	32	0	1	
45	0	2	34	0	1	
46	0	2	36	0	1	
47	0	2	38	0	1	
48	0	2	42	0	1	
49	0	2	45	0	1	
50	0	2	49	0	1	
51	0	2	52	0	1	
52	0	2	56	0	1	
53	1	3	0.75	0	1	
54	1	3	1	0	1	
55	1	3	2	0	1	
56	1	3	3	0	1	
57	1	3	4	0	1	
58	1	3	6	0	1	
59	1	3	8	0	1	
60	1	3	10	0	1	
61	1	3	14	0	1	
62	1	3	17	0	1	
63	1	3	21	0	1	
64	1	3	24	0	1	
65	1	3	28	0	1	
66	0	3	28.75	0	1	
67	0	3	29	0	1	
68	0	3	30	0	1	
69	0	3	31	0	1	
70	0	3	32	0	1	
71	0	3	34	0	1	
72	0	3	36	0	1	
73	0	3	38	0	1	
74	0	3	42	0	1	
75	0	3	45	0	1	
76	0	3	49	0	1	
77	0	3	52	0	1	
78	0	3	56	0	1	
79	1	4	0.75	0	1	
80	1	4	1	0	1	
81	1	4	2	0	1	
82	1	4	3	0	1	
83	1	4	4	0	1	
84	1	4	6	0	1	
85	1	4	8	0	1	
86	1	4	10	0	1	
87	1	4	14	0	1	
88	1	4	17	0	1	
89	1	4	21	0	1	
90	1	4	24	0	1	
91	1	4	28	0	1	
92	0	4	28.75	0	1	
93	0	4	29	0	1	
94	0	4	30	0	1	
95	0	4	31	0	1	
96	0	4	32	0	1	
97	0	4	34	0	1	
98	0	4	36	0	1	
99	0	4	38	0	1	
100	0	4	42	0	1	
101	0	4	45	0	1	
102	0	4	49	0	1	
103	0	4	52	0	1	
104	0	4	56	0	1	
105	1	5	0.75	0	1	
106	1	5	1	0	1	
107	1	5	2	0	1	
108	1	5	3	0	1	
109	1	5	4	0	1	
110	1	5	6	0	1	
111	1	5	8	0	1	
112	1	5	10	0	1	
113	1	5	14	0	1	
114	1	5	17	0	1	
115	1	5	21	0	1	
116	1	5	24	0	1	
117	1	5	28	0	1	
118	0	5	28.75	0	1	
119	0	5	29	0	1	
120	0	5	30	0	1	
121	0	5	31	0	1	
122	0	5	32	0	1	
123	0	5	34	0	1	
124	0	5	36	0	1	
125	0	5	38	0	1	
126	0	5	42	0	1	
127	0	5	45	0	1	
128	0	5	49	0	1	
129	0	5	52	0	1	
130	0	5	56	0	1	
