sampleID	isIncluded	subjectID	measurementid	perturbid	exptblock	intv
1	1	1	0.75	0	1	0
2	1	1	1	0	1	0
3	1	1	2	0	1	14
4	1	1	3	0	1	0
5	1	1	4	0	1	0
6	1	1	6	0	1	0
7	1	1	8	0	1	0
8	1	1	10	0	1	0
9	1	1	14	0	1	0
10	1	1	17	0	1	0
11	1	1	21	0	1	0
12	1	1	24	0	1	0
13	1	1	28	0	1	0
14	1	2	0.75	0	1	
15	1	2	1	0	1	
16	1	2	2	0	1	
17	1	2	3	0	1	
18	1	2	4	0	1	
19	1	2	6	0	1	
20	1	2	8	0	1	
21	1	2	10	0	1	
22	1	2	14	0	1	
23	1	2	17	0	1	
24	1	2	21	0	1	
25	1	2	24	0	1	
26	1	2	28	0	1	
27	1	3	0.75	0	1	
28	1	3	1	0	1	
29	1	3	2	0	1	
30	1	3	3	0	1	
31	1	3	4	0	1	
32	1	3	6	0	1	
33	1	3	8	0	1	
34	1	3	10	0	1	
35	1	3	14	0	1	
36	1	3	17	0	1	
37	1	3	21	0	1	
38	1	3	24	0	1	
39	1	3	28	0	1	
40	1	4	0.75	0	1	
41	1	4	1	0	1	
42	1	4	2	0	1	
43	1	4	3	0	1	
44	1	4	4	0	1	
45	1	4	6	0	1	
46	1	4	8	0	1	
47	1	4	10	0	1	
48	1	4	14	0	1	
49	1	4	17	0	1	
50	1	4	21	0	1	
51	1	4	24	0	1	
52	1	4	28	0	1	
53	1	5	0.75	0	1	
54	1	5	1	0	1	
55	1	5	2	0	1	
56	1	5	3	0	1	
57	1	5	4	0	1	
58	1	5	6	0	1	
59	1	5	8	0	1	
60	1	5	10	0	1	
61	1	5	14	0	1	
62	1	5	17	0	1	
63	1	5	21	0	1	
64	1	5	24	0	1	
65	1	5	28	0	1	
