parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	Clostridium-hiranonis	0.096	32132.8571	0.21867
growth_rate	NA	Clostridium-scindens	0.18635	32132.8571	0.089068
growth_rate	NA	Ruminococcus-obeum	0.17413	32132.8571	0.065854
growth_rate	NA	Clostridium-ramosum	0.04889	32132.8571	0.042459
growth_rate	NA	Bacteroides-ovatus	0.058763	32132.8571	0.03919
growth_rate	NA	Akkermansia-muciniphila	0.043412	32132.8571	0.036205
growth_rate	NA	Parabacteroides-distasonis	0.016349	32132.8571	0.016932
growth_rate	NA	Bacteroides-fragilis	0.1395	32132.8571	0.046101
growth_rate	NA	Bacteroides-vulgatus	0.35682	32132.8571	0.089647
growth_rate	NA	Klebsiella-oxytoca	0.023745	32132.8571	0.02477
growth_rate	NA	Roseburia-hominis	0.028941	32132.8571	0.024551
growth_rate	NA	Escherichia-coli	0.21214	32132.8571	0.087842
interaction	Clostridium-hiranonis	Clostridium-hiranonis	-0.000535	32132.8571	0.00015449
interaction	Clostridium-hiranonis	Clostridium-scindens	-6.0559e-09	0.00040016	1.1328e-06
interaction	Clostridium-hiranonis	Ruminococcus-obeum	3.0067e-06	0.0068916	4.0198e-05
interaction	Clostridium-hiranonis	Clostridium-ramosum	2.0478e-06	0.0092402	2.2286e-05
interaction	Clostridium-hiranonis	Bacteroides-ovatus	0.00029473	32132.8571	3.6897e-05
interaction	Clostridium-hiranonis	Akkermansia-muciniphila	1.1332e-05	0.023472	8.0248e-05
interaction	Clostridium-hiranonis	Parabacteroides-distasonis	7.0787e-07	0.0026291	1.7919e-05
interaction	Clostridium-hiranonis	Bacteroides-fragilis	-5.9107e-08	0.00084516	2.4054e-06
interaction	Clostridium-hiranonis	Bacteroides-vulgatus	-0.00078062	32132.8571	7.0927e-05
interaction	Clostridium-hiranonis	Klebsiella-oxytoca	-5.5731e-08	0.0011123	2.4837e-06
interaction	Clostridium-hiranonis	Roseburia-hominis	0.0018694	32132.8571	0.0002195
interaction	Clostridium-hiranonis	Escherichia-coli	5.6007e-08	0.00053362	2.6851e-06
interaction	Clostridium-scindens	Clostridium-hiranonis	5.3826e-05	0.10843	0.00018359
interaction	Clostridium-scindens	Clostridium-scindens	-0.0033758	32132.8571	0.0001464
interaction	Clostridium-scindens	Ruminococcus-obeum	4.8017e-05	0.045248	0.00024167
interaction	Clostridium-scindens	Clostridium-ramosum	-1.8858e-05	0.035387	0.00010745
interaction	Clostridium-scindens	Bacteroides-ovatus	5.3533e-05	0.11624	0.00016428
interaction	Clostridium-scindens	Akkermansia-muciniphila	-3.4956e-08	0.0024504	1.806e-05
interaction	Clostridium-scindens	Parabacteroides-distasonis	-2.0597e-06	0.0051823	3.342e-05
interaction	Clostridium-scindens	Bacteroides-fragilis	-1.2563e-07	0.001246	5.4102e-06
interaction	Clostridium-scindens	Bacteroides-vulgatus	-0.00095538	100.3514	0.00020962
interaction	Clostridium-scindens	Klebsiella-oxytoca	-1.6575e-05	0.050077	8.1726e-05
interaction	Clostridium-scindens	Roseburia-hominis	-1.4646e-06	0.0028526	3.4833e-05
interaction	Clostridium-scindens	Escherichia-coli	-0.0025221	32132.8571	0.00027015
interaction	Ruminococcus-obeum	Clostridium-hiranonis	0.00013434	0.53197	0.00019478
interaction	Ruminococcus-obeum	Clostridium-scindens	2.3001e-05	0.12494	6.6051e-05
interaction	Ruminococcus-obeum	Ruminococcus-obeum	-9.4709e-05	32132.8571	3.3938e-05
interaction	Ruminococcus-obeum	Clostridium-ramosum	-7.3667e-07	0.010192	7.8206e-06
