trajectory_ID	taxon	abundance	time	type
1	Clostridium-hiranonis	38	30	simulation
1	Clostridium-hiranonis	38.025	30.1	simulation
1	Clostridium-hiranonis	38.05	30.2	simulation
1	Clostridium-hiranonis	38.075	30.3	simulation
1	Clostridium-hiranonis	38.1001	30.4	simulation
1	Clostridium-hiranonis	38.1251	30.5	simulation
1	Clostridium-hiranonis	38.1502	30.6	simulation
1	Clostridium-hiranonis	38.1753	30.7	simulation
1	Clostridium-hiranonis	38.2004	30.8	simulation
1	Clostridium-hiranonis	38.2255	30.9	simulation
1	Clostridium-hiranonis	38.2507	31	simulation
1	Clostridium-hiranonis	38.2758	31.1	simulation
1	Clostridium-hiranonis	38.301	31.2	simulation
1	Clostridium-hiranonis	38.3262	31.3	simulation
1	Clostridium-hiranonis	38.3514	31.4	simulation
1	Clostridium-hiranonis	38.3766	31.5	simulation
1	Clostridium-hiranonis	38.4018	31.6	simulation
1	Clostridium-hiranonis	38.4271	31.7	simulation
1	Clostridium-hiranonis	38.4523	31.8	simulation
1	Clostridium-hiranonis	38.4776	31.9	simulation
1	Clostridium-hiranonis	38.5029	32	simulation
1	Clostridium-hiranonis	38.5282	32.1	simulation
1	Clostridium-hiranonis	38.5536	32.2	simulation
1	Clostridium-hiranonis	38.5789	32.3	simulation
1	Clostridium-hiranonis	38.6043	32.4	simulation
1	Clostridium-hiranonis	38.6296	32.5	simulation
1	Clostridium-hiranonis	38.655	32.6	simulation
1	Clostridium-hiranonis	38.6804	32.7	simulation
1	Clostridium-hiranonis	38.7059	32.8	simulation
1	Clostridium-hiranonis	38.7313	32.9	simulation
1	Clostridium-hiranonis	38.7568	33	simulation
1	Clostridium-hiranonis	38.7822	33.1	simulation
1	Clostridium-hiranonis	38.8077	33.2	simulation
1	Clostridium-hiranonis	38.8332	33.3	simulation
1	Clostridium-hiranonis	38.8588	33.4	simulation
1	Clostridium-hiranonis	38.8843	33.5	simulation
1	Clostridium-hiranonis	38.9098	33.6	simulation
1	Clostridium-hiranonis	38.9354	33.7	simulation
1	Clostridium-hiranonis	38.961	33.8	simulation
1	Clostridium-hiranonis	38.9866	33.9	simulation
1	Clostridium-hiranonis	39.0122	34	simulation
1	Clostridium-hiranonis	39.0378	34.1	simulation
1	Clostridium-hiranonis	39.0635	34.2	simulation
1	Clostridium-hiranonis	39.0892	34.3	simulation
1	Clostridium-hiranonis	39.1148	34.4	simulation
1	Clostridium-hiranonis	39.1405	34.5	simulation
1	Clostridium-hiranonis	39.1663	34.6	simulation
1	Clostridium-hiranonis	39.192	34.7	simulation
1	Clostridium-hiranonis	39.2178	34.8	simulation
1	Clostridium-hiranonis	39.2436	34.9	simulation
1	Clostridium-hiranonis	39.2694	35	simulation
1	Clostridium-hiranonis	39.2952	35.1	simulation
1	Clostridium-hiranonis	39.321	35.2	simulation
1	Clostridium-hiranonis	39.3469	35.3	simulation
1	Clostridium-hiranonis	39.3727	35.4	simulation
1	Clostridium-hiranonis	39.3986	35.5	simulation
1	Clostridium-hiranonis	39.4244	35.6	simulation
1	Clostridium-hiranonis	39.4503	35.7	simulation
1	Clostridium-hiranonis	39.4762	35.8	simulation
1	Clostridium-hiranonis	39.5021	35.9	simulation
1	Clostridium-hiranonis	39.5281	36	simulation
1	Clostridium-hiranonis	39.554	36.1	simulation
1	Clostridium-hiranonis	39.58	36.2	simulation
1	Clostridium-hiranonis	39.606	36.3	simulation
1	Clostridium-hiranonis	39.6321	36.4	simulation
1	Clostridium-hiranonis	39.6581	36.5	simulation
1	Clostridium-hiranonis	39.6842	36.6	simulation
1	Clostridium-hiranonis	39.7102	36.7	simulation
1	Clostridium-hiranonis	39.7363	36.8	simulation
1	Clostridium-hiranonis	39.7624	36.9	simulation
1	Clostridium-hiranonis	39.7885	37	simulation
1	Clostridium-hiranonis	39.8146	37.1	simulation
1	Clostridium-hiranonis	39.8408	37.2	simulation
1	Clostridium-hiranonis	39.8669	37.3	simulation
1	Clostridium-hiranonis	39.8931	37.4	simulation
1	Clostridium-hiranonis	39.9193	37.5	simulation
1	Clostridium-hiranonis	39.9455	37.6	simulation
1	Clostridium-hiranonis	39.9717	37.7	simulation
1	Clostridium-hiranonis	39.9979	37.8	simulation
1	Clostridium-hiranonis	40.0242	37.9	simulation
1	Clostridium-hiranonis	40.0504	38	simulation
1	Clostridium-hiranonis	40.0766	38.1	simulation
1	Clostridium-hiranonis	40.1028	38.2	simulation
1	Clostridium-hiranonis	40.129	38.3	simulation
1	Clostridium-hiranonis	40.1553	38.4	simulation
1	Clostridium-hiranonis	40.1815	38.5	simulation
1	Clostridium-hiranonis	40.2078	38.6	simulation
1	Clostridium-hiranonis	40.2341	38.7	simulation
1	Clostridium-hiranonis	40.2605	38.8	simulation
1	Clostridium-hiranonis	40.2869	38.9	simulation
